entity,end-date
1700690,2021-12-20
1700691,2021-12-20
1700692,2021-12-20
1700696,2021-12-20
1700703,2021-12-20
1700709,2021-12-20
1700710,2021-12-20
1700712,2021-12-20
1700713,2021-12-20
1700715,2021-12-20
1700716,2021-12-20
1700717,2021-12-20
1700718,2021-12-20
1700719,2021-12-20
1700720,2021-12-20
1700722,2021-12-20
1700755,2021-09-02
1700757,2021-09-02
1700760,2021-09-02
1700761,2021-09-02
1700762,2021-09-02
1700766,2021-09-02
1700769,2021-09-02
1700823,2021-09-02
1700824,2021-09-02
1700825,2021-09-02
1700826,2021-09-02
1700827,2021-09-02
1700828,2021-09-02
1700829,2021-09-02
1700830,2021-09-02
1700831,2021-09-02
1700832,2021-09-02
1700833,2021-09-02
1700834,2021-09-02
1700835,2021-09-02
1700836,2021-09-02
1700837,2021-09-02
1700838,2021-09-02
1700839,2021-09-02
1700840,2021-09-02
1700841,2021-09-02
1700842,2021-09-02
1700843,2021-09-02
1700844,2021-09-02
1700845,2021-09-02
1700846,2021-09-02
1700847,2021-09-02
1700848,2021-09-02
1700869,2021-12-22
1700873,2021-12-20
1700875,2021-12-22
1700883,2021-12-20
1700886,2023-08-17
1700888,2023-08-17
1700890,2023-08-17
1700895,2019-11-22
1700900,2023-08-17
1700901,2023-08-17
1700906,2023-08-17
1700908,2023-08-17
1700912,2023-08-17
1700918,2023-08-17
1700921,2023-08-17
1700923,2023-08-17
1700924,2023-08-17
1700928,2023-08-17
1700931,2023-08-17
1700936,2023-08-17
1700937,2023-08-17
1700944,2023-08-17
1700948,2023-08-17
1700949,2023-08-17
1700950,2023-08-17
1700953,2023-08-17
1700955,2023-08-17
1700959,2023-08-17
1700962,2023-08-17
1700965,2023-08-17
1700966,2023-08-17
1700968,2023-08-17
1700969,2023-08-17
1700970,2023-08-17
1700971,2023-08-17
1700973,2023-08-17
1700975,2023-08-17
1700976,2023-08-17
1700977,2023-08-17
1700981,2023-08-17
1700986,2023-08-17
1700989,2023-08-17
1700990,2023-08-17
1700991,2023-08-17
1700992,2023-08-17
1700993,2023-08-17
1700995,2023-08-17
1700996,2023-08-17
1700997,2023-08-17
1700998,2023-08-17
1700999,2023-08-17
1701000,2023-08-17
1701002,2023-08-17
1701004,2023-08-17
1701005,2023-08-17
1701006,2023-08-17
1701008,2023-08-17
1701010,2023-08-17
1701011,2023-08-17
1701013,2023-08-17
1701017,2023-08-17
1701019,2023-08-17
1701020,2023-08-17
1701025,2023-08-17
1701027,2023-08-17
1701030,2023-08-17
1701032,2023-08-17
1701033,2023-08-17
1701035,2023-08-17
1701037,2023-08-17
1701038,2023-08-17
1701043,2023-08-17
1701048,2023-08-17
1701049,2023-08-17
1701051,2023-08-17
1701052,2023-08-17
1701055,2023-08-17
1701059,2023-08-17
1701062,2023-08-17
1701070,2023-08-17
1701071,2023-08-17
1701072,2023-08-17
1701073,2023-08-17
1701075,2023-08-17
1701077,2023-08-17
1701079,2023-08-17
1701080,2023-08-17
1701082,2023-08-17
1701090,2023-08-17
1701102,2023-08-17
1701107,2023-08-17
1701110,2019-11-22
1701113,2023-08-17
1701114,2023-08-17
1701116,2023-08-17
1701117,2023-08-17
1701118,2023-08-17
1701119,2023-08-17
1701122,2023-08-17
1701124,2023-08-17
1701125,2023-08-17
1701131,2023-08-17
1701136,2023-08-17
1701137,2023-08-17
1701140,2023-08-17
1701147,2023-08-17
1701148,2023-08-17
1701149,2023-08-17
1701150,2023-08-17
1701151,2023-08-17
1701158,2023-08-17
1701161,2023-08-17
1701162,2023-08-17
1701164,2023-08-17
1701166,2019-11-22
1701167,2019-11-22
1701169,2019-11-22
1701170,2019-11-22
1701171,2019-11-22
1701173,2019-11-22
1701174,2019-11-22
1701175,2019-11-22
1701176,2019-11-22
1701177,2019-11-22
1701178,2023-08-17
1701179,2023-08-17
1701180,2023-08-17
1701182,2023-08-17
1701183,2023-08-17
1701184,2023-08-17
1701185,2023-08-17
1701193,2023-08-17
1701194,2023-08-17
1701195,2023-08-17
1701196,2023-08-17
1701199,2023-08-17
1701200,2023-08-17
1701201,2023-08-17
1701207,2023-08-17
1701208,2023-08-17
1701209,2023-08-17
1701210,2023-08-17
1701212,2023-08-17
1701213,2023-08-17
1701215,2023-08-17
1701216,2023-08-17
1701217,2023-08-17
1701218,2023-08-17
1701221,2023-08-17
1701224,2023-08-17
1701225,2023-08-17
1701227,2019-11-22
1701229,2019-11-22
1701234,2021-02-08
1701235,2021-02-08
1701236,2022-05-10
1701237,2021-02-08
1701238,2021-02-08
1701239,2022-05-10
1701240,2021-02-08
1701241,2022-05-10
1701242,2022-05-10
1701243,2021-02-08
1701244,2022-05-10
1701245,2021-02-08
1701246,2021-02-08
1701247,2021-02-08
1701248,2021-02-08
1701249,2021-02-08
1701250,2021-02-08
1701251,2021-02-08
1701252,2021-02-08
1701253,2021-02-08
1701254,2021-02-08
1701255,2022-05-10
1701256,2022-05-10
1701257,2021-02-08
1701258,2021-02-08
1701259,2021-02-08
1701260,2021-02-08
1701262,2021-02-08
1701263,2021-02-08
1701264,2021-02-08
1701266,2021-02-08
1701267,2021-02-08
1701270,2021-02-08
1701271,2021-02-08
1701272,2021-02-08
1701273,2021-02-08
1701274,2021-02-08
1701275,2021-02-08
1701276,2021-02-08
1701277,2021-02-08
1701279,2021-02-08
1701280,2021-02-08
1701422,2023-07-08
1701423,2023-07-08
1701424,2023-07-08
1701425,2023-07-08
1701426,2023-07-08
1701427,2023-07-08
1701428,2023-07-08
1701429,2023-07-08
1701430,2023-07-08
1701431,2023-07-08
1701432,2023-07-08
1701433,2023-07-08
1701434,2023-07-08
1701435,2023-07-08
1701436,2023-07-08
1701437,2023-07-08
1701438,2023-07-08
1701439,2023-07-08
1701440,2023-07-08
1701441,2023-07-08
1701442,2023-07-08
1701443,2023-07-08
1701444,2023-07-08
1701445,2023-07-08
1701446,2023-07-08
1701447,2023-07-08
1701448,2023-07-08
1701449,2023-07-08
1701450,2023-07-08
1701451,2023-07-08
1701452,2023-07-08
1701453,2023-07-08
1701454,2023-07-08
1701455,2023-07-08
1701456,2023-07-08
1701457,2023-07-08
1701458,2023-07-08
1701459,2023-07-08
1701460,2023-07-08
1701461,2023-07-08
1701462,2023-07-08
1701463,2023-07-08
1701464,2023-07-08
1701465,2023-07-08
1701466,2023-07-08
1701467,2023-07-08
1701468,2023-07-08
1701469,2023-07-08
1701470,2023-07-08
1701471,2023-07-08
1701472,2023-07-08
1701473,2023-07-08
1701474,2023-07-08
1701475,2023-07-08
1701476,2023-07-08
1701477,2023-07-08
1701478,2023-07-08
1701479,2023-07-08
1701480,2023-07-08
1701481,2023-07-08
1701482,2023-07-08
1701483,2023-07-08
1701484,2023-07-08
1701485,2023-07-08
1701486,2023-07-08
1701487,2023-07-08
1701533,2021-06-16
1701534,2020-12-18
1701547,2023-12-13
1701554,2020-12-18
1701555,2020-12-18
1701557,2021-12-22
1701558,2023-12-13
1701559,2020-12-18
1701563,2023-12-13
1701645,2024-06-04
1701650,2024-06-04
1701651,2024-06-04
1701652,2024-06-04
1701654,2024-06-04
1701655,2024-06-04
1701660,2024-06-04
1701661,2020-11-12
1701662,2020-11-12
1701665,2020-11-12
1701668,2024-06-04
1701670,2024-06-04
1701671,2020-11-12
1701672,2020-11-12
1701673,2024-06-04
1701674,2020-11-12
1701676,2024-06-04
1701679,2024-06-04
1701681,2020-11-12
1701682,2024-06-04
1701683,2024-06-04
1701684,2020-11-12
1701685,2019-12-15
1701687,2019-12-15
1701693,2019-12-15
1701694,2019-12-15
1701698,2023-08-15
1701699,2019-12-15
1701700,2019-12-15
1701776,2022-08-30
1701778,2022-08-30
1701783,2022-08-30
1701791,2022-08-30
1701796,2022-08-30
1701804,2022-08-30
1701805,2022-08-30
1701806,2022-08-30
1701808,2022-08-30
1701809,2022-08-30
1701810,2022-08-30
1701812,2022-08-30
1701813,2022-08-30
1701814,2022-08-30
1701816,2022-08-30
1701818,2022-08-30
1701819,2022-08-30
1701820,2022-08-30
1701822,2022-08-30
1701845,2020-02-18
1701846,2020-02-18
1701849,2020-12-23
1701850,2020-12-23
1701851,2020-12-23
1701852,2020-12-23
1701858,2020-12-23
1701879,2020-12-23
1701887,2020-12-23
1701888,2020-12-23
1701899,2020-12-23
1701901,2020-12-23
1701902,2020-12-23
1701919,2020-12-29
1701934,2020-12-29
1701935,2020-12-29
1701936,2020-12-29
1701937,2020-12-29
1701938,2020-12-29
1701942,2023-07-07
1701952,2023-07-07
1701999,2023-07-07
1702005,2023-07-07
1702035,2023-07-07
1702039,2023-07-07
1702057,2023-07-07
1702058,2023-07-07
1702065,2023-07-07
1702092,2023-07-07
1702190,2024-04-11
1702191,2024-04-11
1702193,2024-04-11
1702194,2024-04-11
1702196,2024-04-11
1702203,2024-04-11
1702206,2024-04-11
1702208,2024-12-19
1702209,2024-12-19
1702210,2024-12-19
1702211,2024-12-19
1702212,2024-12-19
1702213,2024-12-19
1702214,2024-12-19
1702215,2024-12-19
1702216,2024-12-19
1702217,2024-12-19
1702219,2024-12-19
1702220,2024-12-19
1702221,2024-12-19
1702222,2024-12-19
1702223,2024-12-19
1702224,2024-12-19
1702225,2024-12-19
1702226,2024-12-19
1702227,2024-12-19
1702228,2024-12-19
1702229,2024-12-19
1702230,2024-12-19
1702231,2024-12-19
1702232,2024-12-19
1702233,2020-05-13
1702234,2018-07-05
1702235,2020-05-13
1702236,2020-05-13
1702237,2020-05-13
1702238,2020-05-13
1702239,2020-05-13
1702240,2020-05-13
1702241,2020-05-13
1702242,2018-07-05
1702243,2018-07-05
1702244,2020-05-13
1702245,2018-07-05
1702246,2020-05-13
1702247,2020-05-13
1702250,2021-12-16
1702252,2021-12-16
1702253,2021-12-16
1702254,2024-01-26
1702255,2021-12-16
1702256,2021-12-16
1702264,2021-12-16
1702269,2021-12-16
1702299,2018-07-30
1702301,2018-07-30
1702303,2018-07-30
1702308,2018-07-30
1702311,2018-07-30
1702314,2021-01-04
1702315,2021-12-09
1702316,2018-07-30
1702322,2018-07-30
1702332,2018-07-30
1702337,2020-01-02
1702338,2020-01-02
1702339,2018-07-30
1702347,2018-07-30
1702348,2020-01-02
1702349,2020-01-02
1702350,2020-01-02
1702351,2020-01-02
1702352,2020-01-02
1702353,2020-01-02
1702354,2020-01-02
1702355,2020-01-02
1702356,2020-01-02
1702578,2023-03-13
1702612,2021-01-20
1702613,2021-01-20
1702620,2021-01-20
1702626,2021-01-20
1702627,2021-01-20
1702628,2021-01-20
1702640,2021-01-20
1702651,2021-12-30
1702654,2021-01-20
1702661,2021-01-20
1702663,2021-01-20
1702664,2021-01-20
1702665,2021-01-20
1702667,2021-01-20
1702668,2021-01-20
1702717,2023-09-13
1702718,2023-09-13
1702724,2023-09-13
1702726,2023-09-13
1702728,2023-09-13
1702729,2021-12-17
1702731,2021-12-17
1702732,2023-09-13
1702734,2023-09-13
1702737,2023-09-13
1702739,2023-09-13
1702740,2021-09-08
1702741,2021-09-08
1702742,2021-09-08
1702743,2021-09-08
1702744,2021-09-08
1702745,2021-09-08
1702746,2021-09-08
1702747,2021-09-08
1702748,2021-09-08
1702749,2021-09-08
1702750,2021-09-08
1702751,2021-09-08
1702752,2021-09-08
1702753,2021-09-08
1702754,2021-09-08
1702755,2021-09-08
1702756,2021-09-08
1702757,2021-09-08
1702758,2021-09-08
1702760,2021-09-08
1702761,2021-09-08
1702762,2021-09-08
1702763,2021-09-08
1702764,2021-09-08
1702766,2021-09-08
1702767,2021-09-08
1702768,2021-09-08
1702769,2021-09-08
1702770,2021-09-08
1702771,2021-09-08
1702776,2024-04-08
1702777,2020-09-09
1702781,2024-01-29
1702784,2024-04-08
1702785,2024-04-08
1702787,2024-04-19
1702788,2024-04-19
1702789,2024-04-19
1702790,2024-04-19
1702791,2024-04-19
1702792,2024-04-19
1702794,2024-04-19
1702795,2024-04-19
1702796,2024-04-19
1702797,2024-04-19
1702799,2024-04-19
1702801,2024-04-19
1702802,2024-04-19
1702803,2024-04-19
1702804,2024-04-19
1702807,2023-01-12
1702808,2024-02-07
1702809,2024-04-19
1702810,2024-04-19
1702811,2024-04-19
1702812,2024-04-19
1702813,2024-04-19
1702814,2024-04-19
1702815,2024-04-19
1702816,2024-04-19
1702817,2024-04-19
1702818,2024-04-19
1702819,2024-04-19
1702821,2023-01-12
1702822,2024-04-19
1702823,2024-04-19
1702824,2024-04-19
1702825,2024-04-19
1702826,2024-04-19
1702827,2024-04-19
1702882,2023-01-23
1702883,2025-01-28
1702887,2025-01-28
1702889,2023-01-23
1702893,2025-01-28
1702895,2025-01-28
1702896,2023-01-23
1702900,2025-01-28
1702902,2025-01-28
1702911,2020-01-22
1702918,2020-01-22
1702919,2020-01-22
1702920,2020-01-22
1702931,2020-01-22
1702936,2020-01-22
1702946,2020-01-22
1702947,2020-01-22
1702949,2020-01-22
1702954,2020-01-22
1702956,2020-01-22
1702965,2020-01-22
1702970,2020-01-22
1702971,2020-01-22
1702974,2020-01-22
1702978,2020-01-22
1702980,2020-01-22
1702981,2020-01-22
1702985,2020-01-22
1702988,2020-01-22
1702989,2020-01-22
1702990,2020-01-22
1702991,2020-01-22
1702994,2020-01-22
1703005,2020-01-22
1703013,2020-01-22
1703014,2020-01-22
1703033,2020-01-22
1703055,2020-01-22
1703058,2020-01-22
1703062,2020-01-22
1703077,2020-01-22
1703085,2020-01-22
1703102,2020-01-22
1703111,2020-01-22
1703163,2020-01-22
1703164,2020-01-22
1703166,2020-01-22
1703167,2020-01-22
1703168,2020-01-22
1703169,2020-01-22
1703170,2020-01-22
1703171,2020-01-22
1703172,2020-01-22
1703174,2020-01-22
1703175,2020-01-22
1703176,2020-01-22
1703177,2020-01-22
1703178,2020-01-22
1703179,2020-01-22
1703180,2020-01-22
1703181,2020-01-22
1703182,2020-01-22
1703183,2020-01-22
1703184,2020-01-22
1703186,2020-01-22
1703188,2020-01-22
1703190,2020-01-22
1703191,2020-01-22
1703192,2020-01-22
1703193,2020-01-22
1703194,2020-01-22
1703195,2020-01-22
1703197,2020-01-22
1703198,2020-01-22
1703199,2020-01-22
1703201,2020-01-22
1703202,2020-01-22
1703203,2020-01-22
1703205,2020-01-22
1703206,2020-01-22
1703207,2020-01-22
1703208,2020-01-22
1703209,2020-01-22
1703210,2020-01-22
1703211,2020-01-22
1703212,2020-01-22
1703213,2020-01-22
1703214,2020-01-22
1703215,2020-01-22
1703217,2020-01-22
1703218,2020-01-22
1703219,2020-01-22
1703222,2020-01-22
1703225,2020-01-22
1703226,2020-01-22
1703227,2020-01-22
1703229,2020-01-22
1703231,2020-01-22
1703232,2020-01-22
1703233,2020-01-22
1703234,2020-01-22
1703235,2020-01-22
1703236,2020-01-22
1703372,2019-11-02
1703373,2019-11-02
1703374,2019-11-02
1703375,2019-11-02
1703376,2019-11-02
1703416,2019-12-30
1703417,2022-03-16
1703418,2019-12-30
1703419,2019-12-30
1703421,2022-12-19
1703425,2022-03-16
1703429,2019-12-30
1703430,2022-12-19
1703431,2019-12-30
1703432,2019-12-30
1703433,2019-12-30
1703437,2019-12-30
1703438,2019-12-30
1703439,2022-12-19
1703441,2019-12-30
1703444,2022-03-16
1703446,2019-12-30
1703454,2019-12-30
1703455,2022-03-16
1703458,2022-03-16
1703460,2019-12-30
1703465,2019-12-30
1703466,2022-03-16
1703467,2022-03-16
1703469,2022-03-16
1703476,2019-12-30
1703478,2019-12-30
1703481,2022-03-16
1703484,2019-12-30
1703485,2022-03-16
1703487,2022-03-16
1703490,2019-12-30
1703491,2022-12-19
1703499,2019-12-30
1703501,2022-03-16
1703502,2022-03-16
1703504,2019-12-30
1703506,2022-03-16
1703507,2022-03-16
1703511,2022-03-16
1703512,2019-12-30
1703514,2022-03-16
1703515,2019-12-30
1703516,2022-12-19
1703517,2022-03-16
1703522,2022-03-16
1703523,2022-03-16
1703525,2019-12-30
1703528,2019-12-30
1703584,2022-11-22
1703585,2022-11-22
1703586,2022-11-22
1703587,2022-11-22
1703588,2018-07-11
1703589,2022-11-22
1703590,2022-11-22
1703591,2022-11-22
1703592,2022-11-22
1703593,2022-11-22
1703594,2022-11-22
1703595,2018-07-11
1703596,2018-07-11
1703597,2022-11-22
1703749,2021-12-09
1703758,2021-01-04
1703761,2020-01-02
1703789,2022-01-04
1703816,2022-12-28
1703817,2020-03-09
1703818,2022-12-28
1703820,2020-03-09
1703821,2022-12-28
1703822,2022-12-28
1703823,2022-12-28
1703825,2022-12-28
1703826,2022-12-28
1703827,2022-12-28
1703828,2022-12-28
1703829,2020-03-09
1703830,2020-03-09
1703832,2020-03-09
1703833,2022-12-28
1703834,2022-12-28
1703835,2022-12-28
1703836,2022-12-28
1703837,2022-12-28
1703838,2022-12-28
1703843,2022-12-28
1703844,2022-12-28
1703845,2022-12-28
1703846,2022-12-28
1703847,2022-12-28
1703848,2022-12-28
1703850,2022-12-28
1703851,2022-12-28
1703852,2022-12-28
1703853,2022-12-28
1703854,2022-12-28
1703855,2022-12-28
1703856,2022-12-28
1703857,2022-12-28
1703858,2022-12-28
1703860,2022-12-28
1703861,2022-12-28
1703862,2022-12-28
1703863,2022-12-28
1703864,2022-12-28
1703865,2022-12-28
1703866,2022-12-28
1703867,2022-12-28
1703868,2022-12-28
1703869,2022-12-28
1703870,2022-12-28
1703871,2022-12-28
1703872,2022-12-28
1703873,2022-12-28
1703874,2022-12-28
1703875,2022-12-28
1703876,2022-12-28
1703877,2022-12-28
1703878,2022-12-28
1703879,2020-03-09
1703880,2022-12-28
1703881,2022-12-28
1703882,2022-12-28
1703883,2022-12-28
1703884,2022-12-28
1703885,2022-12-28
1703886,2022-12-28
1703887,2022-12-28
1703888,2022-12-28
1703889,2022-12-28
1703890,2022-12-28
1703891,2022-12-28
1703892,2022-12-28
1703893,2022-12-28
1703894,2022-12-28
1703895,2022-12-28
1703896,2022-12-28
1703897,2022-12-28
1703898,2022-12-28
1703899,2022-12-28
1703901,2022-12-28
1703902,2022-12-28
1703903,2022-12-28
1703904,2022-12-28
1703905,2022-12-28
1703907,2022-12-28
1703908,2022-12-28
1703909,2022-12-28
1703910,2022-12-28
1703911,2022-12-28
1703912,2022-12-28
1703913,2022-12-28
1703917,2022-12-28
1703918,2022-12-28
1703919,2022-12-28
1703920,2022-12-28
1703921,2022-12-28
1703922,2022-12-28
1703923,2022-12-28
1703924,2022-12-28
1703928,2023-08-15
1703929,2023-08-15
1703930,2023-08-15
1703931,2023-08-15
1703932,2023-08-15
1703933,2023-08-15
1703934,2023-08-15
1703935,2023-08-15
1703936,2023-08-15
1703937,2023-08-15
1703938,2023-08-15
1703939,2020-09-29
1703940,2020-09-29
1703941,2020-09-29
1703942,2020-09-29
1703943,2020-09-29
1703944,2020-09-29
1703945,2020-09-29
1703946,2020-09-29
1703947,2020-09-29
1703948,2020-09-29
1703949,2020-09-29
1703950,2020-09-29
1703951,2020-09-29
1703952,2020-09-29
1703953,2020-09-29
1703977,2020-01-02
1703978,2020-01-02
1703979,2020-01-02
1703980,2020-01-02
1703981,2020-01-02
1703982,2020-01-02
1703983,2020-01-02
1703984,2020-01-02
1703985,2020-01-02
1703986,2020-01-02
1703987,2020-01-02
1703988,2020-01-02
1703989,2020-01-02
1703990,2020-01-02
1703991,2020-01-02
1703992,2020-01-02
1703993,2020-01-02
1703994,2020-01-02
1703995,2020-01-02
1703996,2020-01-02
1703997,2020-01-02
1703998,2020-01-02
1703999,2020-01-02
1704000,2020-01-02
1704001,2020-01-02
1704002,2020-01-02
1704003,2020-01-02
1704004,2020-01-02
1704005,2020-01-02
1704006,2020-01-02
1704007,2020-01-02
1704008,2020-01-02
1704009,2020-01-02
1704010,2020-01-02
1704011,2020-01-02
1704012,2020-01-02
1704013,2020-01-02
1704014,2020-01-02
1704015,2020-01-02
1704016,2020-01-02
1704017,2020-01-02
1704018,2020-01-02
1704019,2020-01-02
1704020,2020-01-02
1704021,2020-01-02
1704022,2020-01-02
1704023,2020-01-02
1704084,2019-12-22
1704089,2019-12-22
1704098,2020-12-16
1704099,2020-12-16
1704119,2023-11-15
1704148,2019-11-02
1704150,2019-11-02
1704153,2019-11-02
1704176,2019-11-02
1704184,2019-11-02
1704194,2019-11-02
1704226,2019-11-02
1704257,2019-11-02
1704261,2019-11-02
1704262,2019-11-02
1704263,2019-11-02
1704264,2019-11-02
1704265,2019-11-02
1704269,2019-11-02
1704270,2019-11-02
1704272,2019-11-02
1704274,2019-11-02
1704275,2019-11-02
1704278,2023-12-19
1704279,2019-11-02
1704287,2019-11-02
1704289,2019-11-02
1704290,2023-12-19
1704291,2019-11-02
1704292,2019-11-02
1704293,2019-11-02
1704294,2019-11-02
1704295,2019-11-02
1704296,2019-11-02
1704297,2019-11-02
1704300,2019-11-02
1704307,2019-11-02
1704308,2019-11-02
1704323,2023-12-19
1704332,2019-11-02
1704334,2019-11-02
1704431,2021-01-11
1704433,2021-01-11
1704436,2021-01-11
1704437,2023-07-07
1704438,2020-03-10
1704443,2020-03-10
1704444,2020-03-10
1704448,2021-01-11
1704449,2020-03-10
1704451,2021-01-11
1704454,2020-03-10
1704455,2021-01-11
1704457,2021-01-11
1704459,2020-03-10
1704460,2020-03-10
1704462,2021-01-11
1704463,2019-11-25
1704464,2019-11-25
1704465,2019-11-25
1704466,2019-11-25
1704467,2019-11-25
1704468,2019-11-25
1704469,2019-11-25
1704470,2019-11-25
1704471,2019-11-25
1704472,2019-11-25
1704473,2019-11-25
1704475,2019-11-25
1704476,2019-11-25
1704477,2019-11-25
1704478,2019-11-25
1704479,2019-11-25
1704480,2019-11-25
1704481,2019-11-25
1704482,2019-11-25
1704483,2019-11-25
1704484,2019-11-25
1704490,2019-11-25
1704491,2024-04-11
1704492,2024-04-11
1704493,2024-04-11
1704495,2024-04-11
1704497,2024-04-11
1704498,2024-04-11
1704499,2024-04-11
1704500,2024-04-11
1704501,2024-04-11
1704502,2024-04-11
1704503,2024-04-11
1704504,2024-04-11
1704505,2024-04-11
1704507,2024-04-11
1704509,2024-04-11
1704512,2024-04-11
1704514,2018-07-05
1704515,2024-04-11
1704516,2024-04-11
1704517,2024-04-11
1704518,2024-04-11
1704519,2024-04-11
1704520,2024-04-11
1704521,2024-04-11
1704522,2024-04-11
1704523,2024-04-11
1704524,2024-04-11
1704525,2024-04-11
1704526,2024-04-11
1704527,2024-04-11
1704529,2024-04-11
1704530,2024-04-11
1704531,2024-04-11
1704532,2024-04-11
1704534,2024-04-11
1704537,2024-04-11
1704538,2024-04-11
1704539,2024-04-11
1704540,2024-04-11
1704541,2024-04-11
1704542,2024-04-11
1704543,2024-04-11
1704545,2024-04-11
1704546,2024-04-11
1704547,2024-04-11
1704548,2024-04-11
1704550,2024-04-11
1704551,2024-04-11
1704552,2018-07-05
1704553,2024-04-11
1704560,2024-04-11
1704562,2024-04-11
1704595,2021-03-15
1704596,2021-03-15
1704597,2021-03-15
1704598,2021-03-15
1704599,2021-03-15
1704601,2021-03-15
1704606,2021-03-15
1704607,2021-03-15
1704613,2021-03-15
1704614,2021-03-15
1704619,2021-03-15
1704621,2021-03-15
1704622,2021-03-15
1704624,2021-03-15
1704638,2021-12-10
1704639,2020-05-06
1704640,2020-05-06
1704641,2020-05-06
1704642,2021-12-10
1704643,2020-05-06
1704644,2020-05-06
1704645,2020-05-06
1704646,2021-12-10
1704648,2020-05-06
1704649,2021-12-10
1704650,2020-05-06
1704651,2021-12-10
1704653,2021-12-10
1704654,2021-12-10
1704655,2020-05-06
1704656,2021-12-10
1704657,2020-05-06
1704658,2021-12-10
1704659,2020-05-06
1704660,2021-12-10
1704661,2021-12-10
1704662,2021-12-10
1704663,2021-12-10
1704664,2020-05-06
1704665,2020-05-06
1704666,2021-12-10
1704667,2021-12-10
1704668,2021-12-10
1704669,2021-12-10
1704670,2021-12-10
1704671,2021-12-10
1704672,2020-05-06
1704673,2021-12-10
1704675,2021-12-10
1704676,2020-05-06
1704677,2021-12-10
1704678,2021-12-10
1704679,2020-05-06
1704680,2021-12-10
1704681,2021-12-10
1704682,2021-12-10
1704683,2020-05-06
1704684,2020-05-06
1704685,2021-12-10
1704686,2021-12-10
1704803,2023-09-13
1704811,2023-09-13
1704812,2023-09-13
1704813,2023-09-13
1704815,2023-09-13
1704816,2023-09-13
1704820,2023-09-13
1704827,2023-09-13
1704829,2023-09-13
1704830,2023-09-13
1704831,2023-09-13
1704842,2019-12-19
1704845,2019-12-19
1704846,2019-12-19
1704888,2022-03-30
1704893,2022-03-30
1704894,2022-03-30
1704897,2022-03-30
1704898,2022-03-30
1704907,2025-01-08
1704912,2025-01-08
1704913,2025-01-08
1704914,2025-01-08
1704917,2025-01-08
1704918,2025-01-08
1704924,2025-01-08
1704936,2025-01-08
1704937,2025-01-08
1704938,2025-01-08
1704940,2025-01-08
1704942,2025-01-08
1704944,2025-01-08
1704946,2025-01-08
1704948,2025-01-08
1704954,2025-01-08
1704955,2025-01-08
1704957,2025-01-08
1704959,2025-01-08
1704967,2018-07-05
1704976,2022-03-16
1704977,2022-03-16
1704978,2022-03-16
