entity,end-date
1700154,2024-04-10
1700245,2023-08-15
1700253,2023-08-15
1700257,2023-08-15
1700259,2023-08-15
1700263,2023-08-15
1700267,2023-08-15
1700298,2019-12-19
1700436,2023-03-29
1700437,2023-03-29
1700438,2023-03-29
1700441,2023-03-29
1700443,2023-03-29
1700446,2023-03-29
1700449,2023-03-29
1700452,2023-03-29
1700453,2023-03-29
1700454,2023-03-29
1700456,2023-03-29
1700461,2023-03-29
1700462,2023-03-29
1700463,2023-03-29
1700464,2023-03-29
1700465,2023-03-29
1700466,2023-03-29
1700467,2023-03-29
1700468,2023-03-29
1700470,2023-03-29
1700471,2023-03-29
1700472,2023-03-29
1700473,2023-03-29
1700475,2023-03-29
1700476,2023-03-29
1700478,2023-03-29
1700479,2023-12-16
1700482,2023-03-29
1700483,2023-03-29
1700484,2023-03-29
1700485,2023-03-29
1700486,2023-03-29
1700487,2023-03-29
1700497,2019-11-02
1700498,2019-11-02
1700499,2019-11-02
1700555,2023-08-17
1700556,2023-08-17
1700557,2023-08-17
1700558,2023-08-17
1700559,2023-08-17
1700565,2023-08-17
1700566,2019-11-02
1700567,2023-08-17
1700568,2019-11-02
1700571,2019-11-02
1700575,2019-11-02
1700577,2019-11-02
1700578,2019-11-02
1700580,2020-12-09
1700582,2020-12-09
1700584,2020-12-09
1700585,2020-12-09
1700590,2019-11-02
1700592,2019-11-02
1700594,2020-12-09
1700595,2020-12-09
1700596,2019-11-02
1700599,2020-12-09
1700601,2019-11-02
1700602,2020-12-09
1700605,2020-12-09
1700606,2019-11-02
1700607,2020-12-09
1700610,2020-12-09
1700611,2020-12-09
1700612,2020-12-09
1700613,2020-12-09
1700614,2020-12-09
1700615,2019-11-02
1700617,2020-12-09
1700618,2020-12-09
1700620,2019-11-02
1700621,2020-12-09
1700622,2024-12-18
1700623,2023-12-22
1700624,2023-12-22
1700632,2024-12-18
1700633,2020-12-17
1700636,2023-12-22
1700637,2020-12-17
1700639,2023-12-22
1700640,2020-12-17
1700641,2020-12-17
1700644,2020-12-17
1700648,2023-12-22
1700649,2023-12-22
1700650,2023-12-22
1700652,2023-12-22
1700653,2020-12-17
1700658,2020-10-05
1700659,2020-10-05
1700660,2020-10-05
1700661,2020-10-05
1700662,2020-10-05
1700663,2020-10-05
1700664,2020-10-05
1700665,2020-10-05
1700666,2020-10-05
1700667,2020-10-05
1700668,2020-10-05
1700670,2020-10-05
1700671,2020-10-05
1700672,2020-10-05
1700673,2020-10-05
1700674,2020-10-05
1700675,2021-12-20
1700678,2021-12-20
1700679,2021-12-20
1700680,2021-12-20
1700681,2021-12-20
1700683,2021-12-20
1700684,2021-12-20
1700685,2021-12-20
1700686,2021-12-20
1700687,2021-12-20
1700689,2021-12-20
